,Confluence,DMax,Date,Delay,ReplicateId,Time,WellId,DrugConcentration
98,34.124155,100,8/15/2019 2:59:00 PM,2,2,50.8333333333333,E4,0.0
99,34.587485,100,8/15/2019 2:59:00 PM,4,2,50.8333333333333,E5,100.0
100,42.515294999999995,100,8/15/2019 2:59:00 PM,7,2,50.8333333333333,E6,100.0
101,37.281745,100,8/15/2019 2:59:00 PM,100,2,50.8333333333333,E7,100.0
102,51.84837,100,8/15/2019 2:59:00 PM,0,3,50.8333333333333,F2,0.0
103,20.407625000000003,100,8/15/2019 2:59:00 PM,1,3,50.8333333333333,F3,0.0
104,20.158775,100,8/15/2019 2:59:00 PM,2,3,50.8333333333333,F4,0.0
105,25.73708,100,8/15/2019 2:59:00 PM,4,3,50.8333333333333,F5,100.0
106,24.002415,100,8/15/2019 2:59:00 PM,7,3,50.8333333333333,F6,100.0
107,31.2844,100,8/15/2019 2:59:00 PM,100,3,50.8333333333333,F7,100.0
108,71.27676,50,8/16/2019 5:51:00 PM,0,1,77.7,A2,0.0
109,44.64908,50,8/16/2019 5:51:00 PM,1,1,77.7,A3,0.0
110,29.596469999999997,50,8/16/2019 5:51:00 PM,2,1,77.7,A4,0.0
111,39.87957,50,8/16/2019 5:51:00 PM,4,1,77.7,A5,50.0
112,40.131315,50,8/16/2019 5:51:00 PM,7,1,77.7,A6,50.0
113,38.213895,50,8/16/2019 5:51:00 PM,100,1,77.7,A7,50.0
114,81.786625,50,8/16/2019 5:51:00 PM,0,2,77.7,B2,0.0
115,60.920095,50,8/16/2019 5:51:00 PM,1,2,77.7,B3,0.0
116,47.077020000000005,50,8/16/2019 5:51:00 PM,2,2,77.7,B4,0.0
117,44.982395,50,8/16/2019 5:51:00 PM,4,2,77.7,B5,50.0
118,55.243955,50,8/16/2019 5:51:00 PM,7,2,77.7,B6,50.0
119,45.728725,50,8/16/2019 5:51:00 PM,100,2,77.7,B7,50.0
120,83.18886499999999,50,8/16/2019 5:51:00 PM,0,3,77.7,C2,0.0
121,56.474525,50,8/16/2019 5:51:00 PM,1,3,77.7,C3,0.0
122,45.876755,50,8/16/2019 5:51:00 PM,2,3,77.7,C4,0.0
123,56.50933500000001,50,8/16/2019 5:51:00 PM,4,3,77.7,C5,50.0
124,55.31592,50,8/16/2019 5:51:00 PM,7,3,77.7,C6,50.0
125,44.053735,50,8/16/2019 5:51:00 PM,100,3,77.7,C7,50.0
126,80.416915,100,8/16/2019 5:51:00 PM,0,1,77.7,D2,0.0
127,47.419865,100,8/16/2019 5:51:00 PM,1,1,77.7,D3,0.0
