,Date,DrugConcentration,Flank,MouseId,Time,TreatmentBranch,Volume
165,2020/02/06,100.0,Right,32,57,Math,
166,2020/02/07,100.0,Right,32,58,Math,351.3
167,2020/02/08,100.0,Right,32,59,Math,
168,2020/02/09,100.0,Right,32,60,Math,
169,2020/02/10,100.0,Right,32,61,Math,370.0
170,2020/02/11,100.0,Right,32,62,Math,
171,2020/02/12,0.0,Right,32,63,Math,348.0
172,2020/02/13,0.0,Right,32,64,Math,
173,2020/02/14,100.0,Right,32,65,Math,438.8
174,2020/02/15,100.0,Right,32,66,Math,
175,2020/02/16,100.0,Right,32,67,Math,
176,2020/02/17,100.0,Right,32,68,Math,520.1
177,2020/02/18,100.0,Right,32,69,Math,
178,2020/02/19,100.0,Right,32,70,Math,512.6
179,2020/02/20,100.0,Right,32,71,Math,
180,2020/02/21,100.0,Right,32,72,Math,625.5
181,2020/02/22,100.0,Right,32,73,Math,
182,2020/02/23,100.0,Right,32,74,Math,
183,2020/02/24,0.0,Right,32,75,Math,560.5
184,2020/02/25,0.0,Right,32,76,Math,
185,2020/02/26,100.0,Right,32,77,Math,605.8
186,2020/02/27,100.0,Right,32,78,Math,
187,2020/02/28,100.0,Right,32,79,Math,611.9
188,2020/02/29,100.0,Right,32,80,Math,
189,2020/03/01,100.0,Right,32,81,Math,
190,2020/03/02,100.0,Right,32,82,Math,674.9
191,2020/03/03,100.0,Right,32,83,Math,
192,2020/03/04,100.0,Right,32,84,Math,704.2
193,2020/03/05,100.0,Right,32,85,Math,
194,2020/03/06,X,Right,32,86,Math,791.9
195,2020/03/07,X,Right,32,87,Math,
196,2020/03/08,X,Right,32,88,Math,
197,2020/03/09,X,Right,32,89,Math,
198,2020/03/10,X,Right,32,90,Math,
199,2020/03/11,X,Right,32,91,Math,
200,2020/03/12,X,Right,32,92,Math,
201,2020/03/13,X,Right,32,93,Math,
202,2020/03/14,X,Right,32,94,Math,
203,2020/03/15,X,Right,32,95,Math,
204,2020/03/16,X,Right,32,96,Math,
205,2020/03/17,X,Right,32,97,Math,
206,2020/03/18,X,Right,32,98,Math,
207,2020/03/19,X,Right,32,99,Math,
208,2020/03/20,X,Right,32,100,Math,
209,2020/03/21,X,Right,32,101,Math,
210,2020/03/22,X,Right,32,102,Math,
211,2020/03/23,X,Right,32,103,Math,
212,2020/03/24,X,Right,32,104,Math,
213,2020/03/25,X,Right,32,105,Math,
214,2020/03/26,X,Right,32,106,Math,
215,2020/03/27,X,Right,32,107,Math,
216,2019/12/11,0.0,Right,33,0,AT1,29.2
217,2019/12/12,0.0,Right,33,1,AT1,
218,2019/12/13,0.0,Right,33,2,AT1,29.2
219,2019/12/14,0.0,Right,33,3,AT1,
220,2019/12/15,0.0,Right,33,4,AT1,
221,2019/12/16,0.0,Right,33,5,AT1,24.4
222,2019/12/17,0.0,Right,33,6,AT1,
223,2019/12/18,0.0,Right,33,7,AT1,31.7
224,2019/12/19,0.0,Right,33,8,AT1,
225,2019/12/20,0.0,Right,33,9,AT1,34.1
226,2019/12/21,0.0,Right,33,10,AT1,
227,2019/12/22,0.0,Right,33,11,AT1,
228,2019/12/23,0.0,Right,33,12,AT1,23.2
229,2019/12/24,0.0,Right,33,13,AT1,
230,2019/12/25,0.0,Right,33,14,AT1,
231,2019/12/26,0.0,Right,33,15,AT1,
232,2019/12/27,100.0,Right,33,16,AT1,27.1
233,2019/12/28,100.0,Right,33,17,AT1,
234,2019/12/29,0.0,Right,33,18,AT1,
235,2019/12/30,100.0,Right,33,19,AT1,30.0
236,2019/12/31,100.0,Right,33,20,AT1,36.3
237,2020/01/01,100.0,Right,33,21,AT1,
238,2020/01/02,100.0,Right,33,22,AT1,31.0
239,2020/01/03,50.0,Right,33,23,AT1,41.8
240,2020/01/04,25.0,Right,33,24,AT1,
241,2020/01/05,25.0,Right,33,25,AT1,
242,2020/01/06,0.0,Right,33,26,AT1,45.3
243,2020/01/07,0.0,Right,33,27,AT1,
244,2020/01/08,50.0,Right,33,28,AT1,88.2
245,2020/01/09,50.0,Right,33,29,AT1,
246,2020/01/10,25.0,Right,33,30,AT1,73.0
247,2020/01/11,25.0,Right,33,31,AT1,
248,2020/01/12,0.0,Right,33,32,AT1,
249,2020/01/13,0.0,Right,33,33,AT1,65.2
250,2020/01/14,0.0,Right,33,34,AT1,
251,2020/01/15,25.0,Right,33,35,AT1,111.5
252,2020/01/16,25.0,Right,33,36,AT1,
253,2020/01/17,0.0,Right,33,37,AT1,109.9
254,2020/01/18,0.0,Right,33,38,AT1,
255,2020/01/19,0.0,Right,33,39,AT1,
256,2020/01/20,25.0,Right,33,40,AT1,128.5
257,2020/01/21,25.0,Right,33,41,AT1,
258,2020/01/22,50.0,Right,33,42,AT1,157.4
259,2020/01/23,50.0,Right,33,43,AT1,
260,2020/01/24,50.0,Right,33,44,AT1,165.2
261,2020/01/25,50.0,Right,33,45,AT1,
262,2020/01/26,50.0,Right,33,46,AT1,
263,2020/01/27,100.0,Right,33,47,AT1,193.3
264,2020/01/28,100.0,Right,33,48,AT1,
265,2020/01/29,100.0,Right,33,49,AT1,251.3
266,2020/01/30,100.0,Right,33,50,AT1,
267,2020/01/31,100.0,Right,33,51,AT1,271.3
268,2020/02/01,100.0,Right,33,52,AT1,
269,2020/02/02,100.0,Right,33,53,AT1,
270,2020/02/03,50.0,Right,33,54,AT1,212.1
271,2020/02/04,50.0,Right,33,55,AT1,
272,2020/02/05,100.0,Right,33,56,AT1,257.6
273,2020/02/06,100.0,Right,33,57,AT1,
274,2020/02/07,50.0,Right,33,58,AT1,244.0
275,2020/02/08,50.0,Right,33,59,AT1,
276,2020/02/09,50.0,Right,33,60,AT1,
277,2020/02/10,25.0,Right,33,61,AT1,195.3
278,2020/02/11,25.0,Right,33,62,AT1,
279,2020/02/12,50.0,Right,33,63,AT1,326.6
280,2020/02/13,50.0,Right,33,64,AT1,
281,2020/02/14,100.0,Right,33,65,AT1,403.8
282,2020/02/15,100.0,Right,33,66,AT1,
283,2020/02/16,100.0,Right,33,67,AT1,
284,2020/02/17,100.0,Right,33,68,AT1,405.7
285,2020/02/18,100.0,Right,33,69,AT1,
286,2020/02/19,50.0,Right,33,70,AT1,341.9
287,2020/02/20,50.0,Right,33,71,AT1,
288,2020/02/21,100.0,Right,33,72,AT1,418.5
289,2020/02/22,100.0,Right,33,73,AT1,
290,2020/02/23,100.0,Right,33,74,AT1,
291,2020/02/24,100.0,Right,33,75,AT1,421.1
292,2020/02/25,100.0,Right,33,76,AT1,
293,2020/02/26,0.0,Right,33,77,AT1,470.7
294,2020/02/27,100.0,Right,33,78,AT1,
295,2020/02/28,100.0,Right,33,79,AT1,571.0
296,2020/02/29,100.0,Right,33,80,AT1,
297,2020/03/01,100.0,Right,33,81,AT1,
298,2020/03/02,100.0,Right,33,82,AT1,644.0
299,2020/03/03,100.0,Right,33,83,AT1,
300,2020/03/04,100.0,Right,33,84,AT1,672.8
301,2020/03/05,100.0,Right,33,85,AT1,
302,2020/03/06,100.0,Right,33,86,AT1,701.1
303,2020/03/07,100.0,Right,33,87,AT1,
304,2020/03/08,100.0,Right,33,88,AT1,
305,2020/03/09,100.0,Right,33,89,AT1,781.3
306,2020/03/10,100.0,Right,33,90,AT1,
307,2020/03/11,100.0,Right,33,91,AT1,957.0
308,2020/03/12,100.0,Right,33,92,AT1,
309,2020/03/13,100.0,Right,33,93,AT1,976.5
310,2020/03/14,100.0,Right,33,94,AT1,
311,2020/03/15,100.0,Right,33,95,AT1,
312,2020/03/16,100.0,Right,33,96,AT1,1222.9
313,2020/03/17,100.0,Right,33,97,AT1,
314,2020/03/18,100.0,Right,33,98,AT1,1113.3
315,2020/03/19,100.0,Right,33,99,AT1,
316,2020/03/20,100.0,Right,33,100,AT1,1320.2
317,2020/03/21,100.0,Right,33,101,AT1,
318,2020/03/22,100.0,Right,33,102,AT1,
319,2020/03/23,100.0,Right,33,103,AT1,1349.1
320,2020/03/24,100.0,Right,33,104,AT1,
321,2020/03/25,100.0,Right,33,105,AT1,1283.7
322,2020/03/26,100.0,Right,33,106,AT1,
323,2020/03/27,X,Right,33,107,AT1,1449.6
324,2019/12/11,0.0,Right,34,0,AT1,0.0
325,2019/12/12,0.0,Right,34,1,AT1,
326,2019/12/13,0.0,Right,34,2,AT1,0.0
327,2019/12/14,0.0,Right,34,3,AT1,
328,2019/12/15,0.0,Right,34,4,AT1,
329,2019/12/16,0.0,Right,34,5,AT1,0.0
330,2019/12/17,0.0,Right,34,6,AT1,
331,2019/12/18,0.0,Right,34,7,AT1,0.0
332,2019/12/19,0.0,Right,34,8,AT1,
333,2019/12/20,0.0,Right,34,9,AT1,14.1
334,2019/12/21,0.0,Right,34,10,AT1,
335,2019/12/22,0.0,Right,34,11,AT1,
336,2019/12/23,0.0,Right,34,12,AT1,17.9
337,2019/12/24,0.0,Right,34,13,AT1,
338,2019/12/25,0.0,Right,34,14,AT1,
339,2019/12/26,0.0,Right,34,15,AT1,
340,2019/12/27,100.0,Right,34,16,AT1,16.5
341,2019/12/28,100.0,Right,34,17,AT1,
342,2019/12/29,0.0,Right,34,18,AT1,
343,2019/12/30,100.0,Right,34,19,AT1,34.7
344,2019/12/31,100.0,Right,34,20,AT1,40.7
345,2020/01/01,100.0,Right,34,21,AT1,
346,2020/01/02,100.0,Right,34,22,AT1,52.1
347,2020/01/03,100.0,Right,34,23,AT1,64.8
348,2020/01/04,100.0,Right,34,24,AT1,
349,2020/01/05,100.0,Right,34,25,AT1,
350,2020/01/06,50.0,Right,34,26,AT1,45.3
351,2020/01/07,50.0,Right,34,27,AT1,
352,2020/01/08,50.0,Right,34,28,AT1,58.5
353,2020/01/09,50.0,Right,34,29,AT1,
354,2020/01/10,25.0,Right,34,30,AT1,63.6
355,2020/01/11,25.0,Right,34,31,AT1,
356,2020/01/12,0.0,Right,34,32,AT1,
357,2020/01/13,0.0,Right,34,33,AT1,74.9
358,2020/01/14,0.0,Right,34,34,AT1,
359,2020/01/15,25.0,Right,34,35,AT1,184.3
360,2020/01/16,25.0,Right,34,36,AT1,
361,2020/01/17,0.0,Right,34,37,AT1,126.9
362,2020/01/18,0.0,Right,34,38,AT1,
363,2020/01/19,0.0,Right,34,39,AT1,
364,2020/01/20,0.0,Right,34,40,AT1,117.8
365,2020/01/21,0.0,Right,34,41,AT1,
366,2020/01/22,25.0,Right,34,42,AT1,198.6
367,2020/01/23,25.0,Right,34,43,AT1,
368,2020/01/24,50.0,Right,34,44,AT1,226.5
369,2020/01/25,50.0,Right,34,45,AT1,
370,2020/01/26,50.0,Right,34,46,AT1,
371,2020/01/27,25.0,Right,34,47,AT1,189.4
372,2020/01/28,25.0,Right,34,48,AT1,
373,2020/01/29,50.0,Right,34,49,AT1,263.7
374,2020/01/30,50.0,Right,34,50,AT1,
375,2020/01/31,100.0,Right,34,51,AT1,319.0
376,2020/02/01,100.0,Right,34,52,AT1,
377,2020/02/02,100.0,Right,34,53,AT1,
378,2020/02/03,100.0,Right,34,54,AT1,398.0
379,2020/02/04,100.0,Right,34,55,AT1,
380,2020/02/05,100.0,Right,34,56,AT1,434.9
381,2020/02/06,100.0,Right,34,57,AT1,
382,2020/02/07,50.0,Right,34,58,AT1,395.1
383,2020/02/08,50.0,Right,34,59,AT1,
384,2020/02/09,50.0,Right,34,60,AT1,
385,2020/02/10,25.0,Right,34,61,AT1,379.8
386,2020/02/11,25.0,Right,34,62,AT1,
387,2020/02/12,50.0,Right,34,63,AT1,564.0
388,2020/02/13,50.0,Right,34,64,AT1,
389,2020/02/14,100.0,Right,34,65,AT1,509.4
390,2020/02/15,100.0,Right,34,66,AT1,
391,2020/02/16,100.0,Right,34,67,AT1,
392,2020/02/17,100.0,Right,34,68,AT1,558.3
393,2020/02/18,100.0,Right,34,69,AT1,
394,2020/02/19,50.0,Right,34,70,AT1,515.6
395,2020/02/20,50.0,Right,34,71,AT1,
396,2020/02/21,100.0,Right,34,72,AT1,776.3
397,2020/02/22,100.0,Right,34,73,AT1,
398,2020/02/23,100.0,Right,34,74,AT1,
399,2020/02/24,50.0,Right,34,75,AT1,601.1
400,2020/02/25,50.0,Right,34,76,AT1,
401,2020/02/26,0.0,Right,34,77,AT1,636.0
402,2020/02/27,100.0,Right,34,78,AT1,
403,2020/02/28,100.0,Right,34,79,AT1,644.7
404,2020/02/29,100.0,Right,34,80,AT1,
405,2020/03/01,100.0,Right,34,81,AT1,
406,2020/03/02,100.0,Right,34,82,AT1,683.0
407,2020/03/03,100.0,Right,34,83,AT1,
408,2020/03/04,100.0,Right,34,84,AT1,714.0
409,2020/03/05,100.0,Right,34,85,AT1,
410,2020/03/06,100.0,Right,34,86,AT1,801.8
411,2020/03/07,100.0,Right,34,87,AT1,
412,2020/03/08,100.0,Right,34,88,AT1,
413,2020/03/09,50.0,Right,34,89,AT1,777.5
414,2020/03/10,50.0,Right,34,90,AT1,
415,2020/03/11,100.0,Right,34,91,AT1,869.6
416,2020/03/12,100.0,Right,34,92,AT1,
