,r,K,v,d_A,alpha,phi,n,EC50,SSR
36,0.7106656997603571,99.31244297551392,1.0544464078410625,0.0502996185186131,0.8823005111361599,1.0301332694640877,0.7624300920091097,6.398781459365604,559.3006730776686
37,0.7038429957176794,97.68797763047898,1.1323454013087786,0.1501994847771099,0.6914147266075127,1.4726838715413104,1.2764401356271058,5.096379763566535,322.87296687322424
38,0.6822203043621251,99.19641518755807,1.17024371207823,0.0261321011418299,0.9999999999999182,1.1765303896179733,1.1669807151876912,9.136760249821512,323.7502907388093
39,0.7065131066430729,97.52560523690774,1.1583080357120512,0.0570771324250791,0.8674109117742728,1.3677069882048312,1.6923283574432453,7.342922784655363,189.8884131292308
40,0.6801441808495197,96.27375475386756,1.265187469549227,0.0821192812142598,0.6732106440922649,0.6152244563756638,1.7448451230793,6.729797593359207,505.2545281525767
41,0.710652867532654,100.0,1.0717038754203598,0.0305995593787347,0.947165133311639,1.142875532302419,1.1720495588412123,8.253502935527457,341.0438972995207
42,0.749440817877252,98.43192655880893,0.9640689567490076,0.0505421208378456,1.0,1.425283767065624,0.9638059277354437,9.648515881413903,358.9133390711436
43,0.7835633866087316,100.0,0.8803017683997263,0.0742787520901546,0.8555948348178228,1.5062887377780434,1.1543115731317246,6.932949620740193,509.81501432547054
44,0.6626717199321923,100.0,1.2388124288230569,0.0466927964566983,0.9819826814279252,1.283735050398977,0.9390182690568065,8.363563645750975,220.1108486835971
45,0.687690202133144,99.99999999999952,1.1238035995008129,0.0420372472955826,0.9332854863389496,1.1663057876531011,1.1723255280820957,8.411331191842816,369.2109675279274
46,0.7342587062814576,98.70494769154271,1.0278558156206448,0.1299485916929111,0.6632623676681537,1.0732814765202912,2.0153323825761307,6.691285253280203,256.19290363310853
47,0.6871994053962623,100.0,1.0978821449996816,0.0614874727852526,0.9172883300252632,1.3397999664091036,0.843387906561735,8.049345223975243,535.2745190296278
48,0.7482118644767888,100.0,0.9714193590469564,0.0513859486069637,0.9999999999999868,1.5695658343270675,1.0029877947671213,8.204271976423552,321.3447358212971
49,0.6716581529820541,99.99999999999991,1.1992272390439311,0.071621610849111,0.933082539485236,1.827600356615085,1.4214397592809789,7.913105814368689,484.03212277606593
50,0.7324104416258727,99.974795166151,0.9870882240965582,0.0412135159961105,1.0,1.3596950342778429,1.0009445516104805,8.552880794600147,271.12225151214017
51,0.7330455243533469,100.0,1.0032087800886218,0.0481669723600847,1.0,1.4316653668982668,1.120412758506772,8.886313807601866,320.596905703377
52,0.7244973204896074,98.2915037277176,1.0676489490602474,0.0330761862495159,0.9999999999999954,1.414386102157619,7.805621466694344,9.89922899191878,280.264710354817
53,0.7028408928714072,100.0,1.1120307426625835,0.0451752861313753,0.8117594106931456,0.9234129103797436,1.407456524793757,7.295322205061879,331.184494395777
54,0.7242223591872394,99.13599110013016,1.0376347623659947,0.0684555379965452,0.7772685885610131,1.031764411338748,1.198699552414795,6.566413187896596,340.7318529932574
55,0.7197206466560242,100.0,1.0344218720984069,0.0443277849445165,1.0,1.4362216287142362,1.960820965012832,9.362184576571252,327.4677493870856
56,0.7614215755635287,100.0,0.91800061027206,0.0643084638733472,0.8678460062657425,1.372907794575872,1.3798790327524186,7.02257907467593,307.2392229702942
57,0.695611280206158,99.6681967732411,1.131089148477241,0.1797681943947026,0.5955965466682751,0.894235465697459,1.469151935154542,5.100922106868376,293.52456485501114
58,0.7036890862118516,99.99999999999692,1.0559484434673752,0.1173669359383435,0.6711393764666059,0.8975352190594993,1.7698919916000355,7.270876372625707,323.12731764565353
59,0.7405119613888581,100.0,0.9871690022540768,0.0586313807821085,1.0,1.6397522716349686,1.1787601677815818,9.16769676675905,235.37488066939662
60,0.7403953361838438,100.0,0.9722319377062272,0.1064897091359373,0.7008179484890643,1.1344105994745466,1.8509073891001273,6.854755477251109,228.992900078077
61,0.6876567307158815,100.0,1.143971372971032,0.0464314028008021,1.0,1.4429003667650993,1.1289777440632727,8.447893775361734,333.62217628536183
62,0.7282475033078248,99.67901433110612,1.0384937025673928,0.0554043506446092,0.8303027355504871,0.9832448683977736,1.3318199393652377,7.813899392522747,519.5079727418707
63,0.7310588412035892,100.0,0.9952635513316804,0.0460332655189614,0.999999999999194,1.538402479370078,1.4263883821268961,8.275579400946402,236.66908528134937
64,0.7208239413276288,99.99999999999964,1.0190719063134357,0.05679736661091,0.9999999999999994,1.669716153588314,1.505849124813123,8.983906889535636,456.6890200087587
65,0.7775827063358086,100.0,0.8788798502873352,0.0339407083286443,0.9999999999999992,1.2708511739660835,1.324087753715296,9.037555481196414,347.6761717146373
66,0.74600801174556,100.0,0.9445797630736532,0.054435551062501,0.9999999999999736,1.6808134086573725,1.3227725694418488,8.827997391776467,343.9548427399299
67,0.6668788905363421,98.01530706905352,1.3059435415024858,0.0480245028788129,1.0,1.5390178654948683,1.882862788595974,9.278620000002343,381.2068658135934
68,0.7210760260295654,99.1910828228807,1.0489942872424824,0.0447743277450007,1.0,1.4496656661798983,1.1192723639168753,7.7748531332944895,383.64082370541166
69,0.7533089813249373,100.0,0.9431932470133636,0.0740557989129455,0.7594989631940273,1.0051905314322112,1.2600300665392286,6.3159096155907015,268.60602728238996
70,0.731970778742425,98.01623858555728,1.0287285783046267,0.0425603686620231,1.0,1.4203580724678893,1.1531914541218302,9.076425059030433,329.13564379007386
71,0.700334026714078,99.50023629814012,1.1362047502694474,0.0615908510969148,0.9159113144974288,1.5645099403353464,1.5081001691885851,7.872751286932054,278.06276947519285
72,0.7265574282643956,100.0,1.0130348724856733,0.0679479324737033,0.980433108129102,1.7702025186263868,0.9428658356824355,7.4855697184093675,386.96270709563834
73,0.7536834093887717,99.31471692083583,0.9776208697506068,0.040421303967504,1.0,1.4781334477172676,1.5388726453413375,8.520972837836664,283.05810518701435
74,0.6671621423083098,97.15252542769402,1.2969316548914769,0.0272231830264749,1.0,1.2818943113493195,1.3593349375553831,8.677245625920174,288.31079211613724
75,0.7773658928550017,99.99999999999956,0.8806834576817567,0.0845240561630566,0.8940320668561034,1.6801984127458796,1.1109212826488228,7.2887938074740575,465.7894873407756
76,0.7744550647287386,99.02932767737624,0.9215458473270034,0.0445763825975898,0.9072764902329308,1.2086886689138097,1.4407263736834677,7.963314112373557,470.0845663367159
77,0.6921834249496717,97.95176665414904,1.1559650136022974,0.0454347058441285,1.0,1.3240371695020952,0.8845062473493766,8.780019387872185,277.16797691965826
78,0.6867438419558934,99.00085763904376,1.1519187735859162,0.1321947890249847,0.6724027279838705,1.0776546871172792,1.221493275956548,5.360091528080218,267.07400904171493
79,0.7039360885424522,100.0,1.0809921716230515,0.0588236438755429,0.8822564164618639,1.2781164111967147,1.2296242162574902,7.8595323378583,282.4750462982995
80,0.710445559659964,100.0,1.0758682537721371,0.065670204007102,0.7543569656734627,0.9024836217788894,1.27258174836637,6.521307839033841,263.78045057103924
81,0.7214478340764194,98.7670482450036,1.0377509466271106,0.0342442739417392,1.0,1.2280228744983512,1.1419887942330311,9.163978393622399,356.43170979798316
82,0.6743039500254253,99.99999999999996,1.2198514049653508,0.0630848687339972,0.9346286178468796,1.512553873807532,1.3407672482350579,8.091507981055065,482.7186166651398
83,0.7923192612339068,99.42576201611728,0.8822440600779053,0.0705113602165231,1.0,1.956775167197668,8.490464967073018,9.545252797232871,650.1830268077118
