,r,K,v,alpha0,alpha1,d_A,beta,SSR
51,0.4624991716270654,98.47600501402007,2.7342916275193256,0.5958798166587519,0.8244344331783241,0.555324734828564,9.471422195157036e-10,83.79341375026833
52,0.4626337981611964,95.68153537352278,3.015427300413064,0.8395173530147559,0.6008101259007107,0.5278986804682373,8.989987232495088e-09,60.17916111531287
53,0.4696134265436176,99.59654032599197,2.6374239618137585,0.9200879915368264,0.5748382028304312,0.6058266306482659,4.04870648732423e-12,52.1015462918457
54,0.4885289193101403,100.0,1.9844725801195005,0.6595969382099762,0.6596646241427143,1.3993379652228606,3.575936174641428e-10,80.05006036089593
55,0.4639578735502042,100.0,2.837815183585497,0.6713717821193748,0.6714348377519384,0.7767402025920135,4.775176828209678e-10,127.29212380734349
56,0.4746996011451778,99.4616503113577,2.233203880426472,0.6634152584895993,0.6634449948340567,1.224080134877195,1.167541526094763e-10,142.89597400839358
57,0.4665442901902734,99.99999999961086,2.650147375348757,0.6806991943106709,0.6807083476094163,0.6920686085869228,3.2234250870161304e-11,203.6723474255008
58,0.4658996264110012,98.2499983570156,2.8791288515708384,0.68197245615298,0.6803915852974715,1.0378205766209507,0.007659513804923384,105.34700449076523
59,0.4777240639302467,98.41616200496766,2.272789598475073,0.9914559087930819,0.589161688308703,0.35640903719872175,1.023884295199134e-10,114.21796062357376
60,0.4707643332079888,100.0,2.4592931314368194,0.8782665647362419,0.5968315083799128,0.44402003306865306,3.3326576363066586e-10,55.37451923177473
61,0.4626380619499028,97.1392475783082,2.9440745111542395,0.6093174191894053,0.7770457065566956,0.6690203382712493,1.5009703286538393e-08,102.48726484873667
62,0.4726372812817373,100.0,2.305113670485017,0.5954589448696747,0.7656183316226653,0.8443486471116879,6.34602375686903e-11,168.5104324506442
63,0.4634316605269022,95.70873763152603,2.777436434863349,0.6087986085334365,0.834898035180298,0.5050491927030338,1.6361805527697336e-08,98.77279383377626
64,0.4635367500605806,99.74667036763086,3.1059521260774168,0.8083261477273598,0.5916009567022835,0.6906480904704944,1.0460854633585235e-10,130.15923819116725
65,0.4674547457352655,98.60904982078738,2.6233346102254744,0.8519095124006771,0.5967437429351938,0.4902091242534724,3.128241393396274e-12,83.19603224639523
66,0.4665259899870991,97.87417281932956,2.921659540088326,0.9555279693142043,0.5952799392730046,0.38636520214507336,5.673604471410126e-10,114.17496177166969
67,0.4679072325526128,98.15975547724076,2.693036244409184,0.6707460959492839,0.6707478855526917,0.7455760639777566,1.9906046133990703e-10,161.69006404081486
68,0.4648778697472072,99.35010575413548,2.660069037077821,0.8624139173252623,0.6018129188042259,0.47593480924597137,8.953148983014766e-10,110.20151755954686
69,0.4695251118208328,100.0,2.413006660537017,0.5945113786112871,0.9093903925681449,0.4878428956690194,8.683189280011534e-10,86.20019543962712
70,0.4623592498392606,97.78895397540748,2.885461480559264,0.6686603500052416,0.9999994969942418,0.13628958947744083,6.653837155664518e-12,80.23480460377156
71,0.464541574468208,98.31530942247942,2.6042365880655893,0.7075934939933554,0.7075774157787131,0.3206287958263924,6.034916663396774e-12,199.89750895629803
72,0.4721429939285807,97.7492211624018,2.66294410696336,0.6515310032853482,0.6514665967337772,2.058016603198217,5.804903904014423e-25,246.0402951574208
73,0.4769108032658837,100.0,2.302194103823354,0.6743368749884338,0.6743759210473153,0.8511386455485528,1.5685293930238125e-10,101.15961129623521
74,0.4663168473163104,100.0,2.52420002286958,0.6619015470127658,0.6618968375777129,1.023095076670767,1.0861685353310306e-10,191.79490718019315
75,0.4609078731117303,99.23174054446484,3.039920908164272,0.6532148281577851,0.6537225874589072,2.2356125577374457,0.0024537529184941336,71.88489906365487
76,0.4652484408405964,95.59058579218151,3.104371120137531,0.9147986256239233,0.6768661306038694,0.24654195738190926,0.016682794908360693,145.00257621349087
